t,angle,setpoint,dq,tau_cmd,tau_load,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk,b0,b1,b2,b3,b4
18.445,0.7564712141468523,0.6981317007977318,-0.08946986344961537,-1.7538062109361066,1.1154919820602098,-11.77629734045058,7.490510674208197,-5.8562298210609445,1.1761815456245779,0.6929180153169312,-1.267071042869932,0.004906251123102044,0.011121226292680425,0.0,7.282067214373209e-06,7.282067214373209e-06,7.282067214373209e-06,0.49344572429215106,0.5065324295062057
18.545,0.756375994504812,0.6981317007977318,-0.10130358603392763,-1.2831468404091122,0.6442179671981839,-6.885480540017257,4.783188583638243,-3.569981348861033,0.9741693456597215,0.3621618463232735,-0.920912064088756,0.003699531060362158,0.009533237625330725,0.0,0.2,0.2,0.2,0.2,0.2
18.650000000000002,0.7551635987923379,0.6981317007977318,-0.13196318502235777,0.09786575798102831,0.08243628874187059,0.012247614770062754,1.650195848330389,-0.9661653114745541,0.7029933292221671,0.025690184883800038,-0.2487015123130092,0.002425597660993493,0.007736588443742856,0.0,0.6545631385000785,0.32620861140616736,0.019221636742112205,3.306675821034226e-06,3.306675821034226e-06
18.755,0.7528744008661898,0.6981317007977318,-0.15811730905141025,1.12548525909511,-0.48823443556864154,6.512734950685521,-1.5604637530847918,1.6767758973686056,0.38562727335384733,-0.29135982764674095,0.39882647506471725,0.0012972612545147548,0.0059254803779520675,0.0,0.2,0.2,0.2,0.2,0.2
18.855,0.7499702469521533,0.6981317007977318,-0.1610293292867896,1.394164688956339,-0.9836459112412255,10.15343121533031,-4.433191276584279,4.021069370790383,0.06016173952307419,-0.4826539867404486,0.7587136309019649,0.0010541061147992506,0.004548586022126417,0.0,0.2,0.2,0.2,0.2,0.2
18.955000000000002,0.7463908578254638,0.6981317007977318,-0.13360768026971936,0.41797872124239394,-1.3827712716574616,11.034353139015288,-6.884465976969776,6.038236884035662,-0.2626137285179798,-0.6710407807168951,0.6903982345428588,0.0016649703099896622,0.0036533122725887638,0.0,1.5234963911492655e-06,1.5234963911492655e-06,2.3492322880868097e-05,0.2013582641748949,0.7986151965094419
19.06,0.7422561927338328,0.6981317007977318,-0.1379806588872614,1.4289247144946489,-1.6556493779481993,14.355853488649029,-8.796703643477292,7.5263870086135585,-0.5603815223991673,-0.9106495550403652,0.9822534281731192,0.002396515209362681,0.003516841339453114,0.0,2.8451297243438656e-06,2.8451297243438656e-06,0.0005325579990454873,0.2985538179481033,0.7009079337934025
19.16,0.7386302228022855,0.6981317007977318,-0.16099185708564745,2.281575150494098,-1.749784106842906,17.60567289269318,-9.6883972453343,8.095427936815888,-0.7764003538047124,-1.0290518091824032,1.4440171148596468,0.00274537579750019,0.0039086447680039575,0.0,0.2,0.2,0.2,0.2,0.2
19.26,0.7357886167166796,0.6981317007977318,-0.15545457782995978,2.1819921226223715,-1.6726377758970767,16.44496484837383,-9.479083089716744,7.786198000800617,-0.9079617114710073,-0.9187955468985266,1.483156821185533,0.002656397291962997,0.004306851740251303,0.0,0.2,0.2,0.2,0.2,0.2
19.365000000000002,0.7335932854454597,0.6981317007977318,-0.12732969134312247,1.4628592154481324,-1.415779740156157,12.294181120807032,-8.288102537596478,6.720371232321645,-0.9504615062954509,-0.7265256063871184,1.137778824482207,0.0022741005436945753,0.004467724792737911,0.0,0.2,0.2,0.2,0.2,0.2
