t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,Fx,Fy,Fz,Mx,My,Mz,b0,b1,b2,b3,b4
16.4,0.6492487529330333,0.5728170605045388,0.6981317007977318,-0.3356607860715746,-6.181601876306987,-25.203596071462265,0.021344652715753032,0.0,0.0,1.7843778863193274,0.022190756435206575,0.04958709797801403,0.0,0.0,0.0,4.0771949691654035,0.0,-11.310384403960498,57.91153487991838,-51.17487551015679,6.7882566775039495,1.107136538424509,-5.720072980555104,0.0,0.0,0.0,0.0,0.0
16.5,0.6395725607975102,0.5937610115284717,0.6981317007977318,0.04744833308610091,7.012708579037911,28.592180138676436,0.7137393201534281,0.0,0.0,1.7384377066690717,0.006929923833951333,0.03619118244596803,0.0,0.0,0.0,4.0771949691654035,0.0,-33.218475798724874,12.187050771284397,-2.6335324262309214,4.595998419478478,-1.117255904358532,-8.997373410355996,0.0,0.0,0.0,0.0,0.0
16.6,0.6810334127568737,0.6147049625524046,0.6981317007977318,0.5246069847120478,1.5117985504063451,6.1638974441083,-0.6433154243288615,0.0,0.0,1.695797510721608,0.026685518094065015,0.05231381881004749,0.0,0.0,0.0,4.0771949691654035,0.0,-133.74023688315577,55.16505922627421,-34.597013760878895,5.805354224081731,7.279773919409861,-15.219356605254786,0.0,0.0,0.0,0.0,0.0
16.705000000000002,0.713120250307353,0.6366961111275341,0.6981317007977318,-0.0901022806735676,-6.7795785579691294,-27.641663589613376,-0.44288109058472025,0.0,0.0,1.6316362808752851,0.028387283578398502,0.05451859302600502,0.0,0.0,0.0,4.0771949691654035,0.0,-63.71375227523731,74.98438613495046,-61.06179183031162,7.392234715540573,4.514357984817702,-8.368941519092218,0.0,0.0,0.0,0.0,0.0
16.81,0.7048779225517169,0.6586872597026636,0.6981317007977318,-0.11454017075185316,3.497686451982501,14.260749605741044,0.6653719805620768,0.0,0.0,1.5807158012350793,0.012156900804079065,0.03762002295481259,0.0,0.0,0.0,4.0771949691654035,0.0,-27.034701285862877,25.269242228172487,-18.43798623710972,5.4694035023143455,-0.5516227999724352,-7.117043260148009,0.0,0.0,0.0,0.0,0.0
16.91,0.7326630071230417,0.6796312107265965,0.6981317007977318,0.4721037485464222,4.352787322035375,17.747162571249582,-0.270593917425898,0.0,0.0,1.5442277980597185,0.0228231272194813,0.04684878267872553,0.0,0.0,0.0,4.0771949691654035,0.0,-123.84378897832059,39.959909542739396,-27.010996733377564,5.340734918264168,5.897705074455063,-14.057868624428075,0.0,0.0,0.0,0.0,0.0
17.01,0.7735387790709429,0.6981317007977318,0.6981317007977318,0.14149582752634327,-5.826043356951333,-23.753914665101494,-1.065143699198699,0.0,0.0,1.491266466127845,0.033015440377040746,0.05718349171752102,0.0,0.0,0.0,4.0771949691654035,0.0,-109.77399274610016,81.45832734160597,-65.8076093546254,7.53387170106203,7.22640372706232,-10.623055956214975,0.0,0.0,0.0,0.0,0.0
17.115000000000002,0.7570686276161634,0.6981317007977318,0.6981317007977318,-0.6216002017040897,-4.822294825314745,-19.661436201605635,0.31317525337047725,0.0,0.0,1.4303195632343986,0.014370262281349539,0.033757227591257016,0.0,0.0,0.0,4.0771949691654035,0.0,28.577829273964838,33.0779169022268,-26.771291246284303,6.170363073925557,-2.1992629602124376,0.1054292014479632,0.0,0.0,0.0,0.0,0.0
17.22,0.7321281473333887,0.6981317007977318,0.6981317007977318,-0.0018601875076587338,8.653235382156808,35.280927767133804,0.5662023406695545,0.0,0.0,1.3958916977306277,0.005030913829261329,0.020869278198821284,0.0,0.0,0.0,4.0771949691654035,0.0,-8.519038037946721,-26.47395508001479,25.144948536993702,2.026754076973152,-2.0496447453318325,-4.758447437946196,0.0,0.0,0.0,0.0,0.0
17.32,0.7630609639615828,0.6981317007977318,0.6981317007977318,0.27457459436398246,-1.6303159786024166,-6.647116106107744,-0.959627777655583,0.0,0.0,1.3571369495364838,0.01656947946054849,0.030429556258907735,0.0,0.0,0.0,4.0771949691654035,0.0,-79.2363296013548,25.592120351102043,-18.93291518648739,3.0846688006768197,5.679207584184683,-7.3654064930516165,0.0,0.0,0.0,0.0,0.0
