t,angle,setpoint,sp_goal,dq,a_hat,tau_dyn,tau_cmd,tau_load,tau_f_exp,bias_u,Fx,Fy,Fz,Mx,My,Mz,pos_err,rot_err,risk_act,risk_err,risk,J_est,D_est,b0,b1,b2,b3,b4
8.499999999999929,0.8169274924717614,0.6981317007977318,0.6981317007977318,-0.10480380609172565,-4.245987524449205,-0.42352204682931693,-1.5041550297004491,0.0,0.0,-0.18340933570381893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.50499999999993,0.8169410226796765,0.6981317007977318,0.6981317007977318,0.002706041583003277,0.9036038874297927,0.07445314426078604,-1.6130153330889783,0.0,0.0,-0.18459742892263836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.50999999999993,0.8159514592463886,0.6981317007977318,0.6981317007977318,-0.19791268665759493,-7.3018660196800935,-0.7424794309004834,-1.4017000412334113,0.0,0.0,-0.18577562650712492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.514999999999931,0.8155503870045233,0.6981317007977318,0.6981317007977318,-0.0802144483730555,-1.1335632843624985,-0.15485662144744428,-1.5157595994776356,0.0,0.0,-0.18694981336919284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.519999999999932,0.8157027133986481,0.6981317007977318,0.6981317007977318,0.030465278824958128,3.520338460430546,0.30599929989441016,-1.6294429535311556,0.0,0.0,-0.188125523495202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.524999999999933,0.81495215517248,0.6981317007977318,0.6981317007977318,-0.15011164523361448,-4.406806193998468,-0.4726338117067691,-1.4410275353023134,0.0,0.0,-0.18929372803894948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.529999999999934,0.8147663659948857,0.6981317007977318,0.6981317007977318,-0.03715783551885368,0.9927074333916575,0.049690326256249646,-1.5529182215379145,0.0,0.0,-0.19046007469092102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.534999999999934,0.8153070371017423,0.6981317007977318,0.6981317007977318,0.10813422137131487,6.605848222320068,0.6149752348826574,-1.7058700850734025,0.0,0.0,-0.19163182805396112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.539999999999935,0.8151675548643196,0.6981317007977318,0.6981317007977318,-0.027896447484555192,-0.15654817637874796,-0.03484101209794399,-1.5693359879091253,0.0,0.0,-0.192802186594627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.544999999999936,0.8158081787010354,0.6981317007977318,0.6981317007977318,0.12812476734315761,6.115610052005515,0.5917486180349673,-1.7342214535564608,0.0,0.0,-0.19397895137366003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.549999999999937,0.8157576402055863,0.6981317007977318,0.6981317007977318,-0.010107699089830696,-0.6368106157151203,-0.05903100852907418,-1.5965587845721616,0.0,0.0,-0.19515521076773856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.554999999999938,0.8165628241003057,0.6981317007977318,0.6981317007977318,0.161036778943883,6.3363306287764525,0.6357358734572226,-1.7785497805755337,0.0,0.0,-0.1963395220007643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.559999999999938,0.8166549385579017,0.6981317007977318,0.6981317007977318,0.01842289151920104,-0.6354909939661164,-0.03610096630192848,-1.6382264990196063,0.0,0.0,-0.197524754378366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.564999999999939,0.8157724196784804,0.6981317007977318,0.6981317007977318,-0.1765037758842781,-8.305459491312059,-0.8056397800123872,-1.4338860122518782,0.0,0.0,-0.1987011615671735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.56999999999994,0.8154630685249713,0.6981317007977318,0.6981317007977318,-0.06187023070181327,-2.0590257857510545,-0.214218247421535,-1.5459806572695067,0.0,0.0,-0.19987447524444588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.57499999999994,0.8157478273786029,0.6981317007977318,0.6981317007977318,0.05695177072630524,3.105659428523897,0.29401417086295595,-1.6693959262070126,0.0,0.0,-0.2010506365102546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.579999999999941,0.8152733187024844,0.6981317007977318,0.6981317007977318,-0.09490173522367686,-3.5896126951801666,-0.36309040379335483,-1.5130197323226569,0.0,0.0,-0.20222205268930213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.584999999999942,0.8153377282583306,0.6981317007977318,0.6981317007977318,0.012881911169241672,1.439655699572608,0.12547798490120196,-1.6227483536603358,0.0,0.0,-0.2033941129639081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.589999999999943,0.8144098553458846,0.6981317007977318,0.6981317007977318,-0.18557458248920752,-6.786535186679882,-0.6913824809257566,-1.414320166598016,0.0,0.0,-0.20455689450938963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.594999999999944,0.8140641649369122,0.6981317007977318,0.6981317007977318,-0.0691380817944742,-0.7717681215545733,-0.11705191515994523,-1.5277677070264728,0.0,0.0,-0.20571621915078145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.599999999999945,0.8142939779893557,0.6981317007977318,0.6981317007977318,0.04596261048868125,3.986613194082559,0.3556991439175497,-1.6467877787108653,0.0,0.0,-0.20687784192269768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.604999999999945,0.8137139535776228,0.6981317007977318,0.6981317007977318,-0.11600488234658482,-3.2894091581445957,-0.3559566385288355,-1.4790158154626034,0.0,0.0,-0.2080336644504966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.609999999999946,0.8136806088706517,0.6981317007977318,0.6981317007977318,-0.0066689413942162545,1.7419103115790655,0.13401767181095225,-1.589107109012049,0.0,0.0,-0.2091891535312258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.614999999999947,0.814514160605122,0.6981317007977318,0.6981317007977318,0.16671034689405181,8.328699780793976,0.7996642599787596,-1.7736528427120346,0.0,0.0,-0.2103529781292997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.619999999999948,0.8146357284339245,0.6981317007977318,0.6981317007977318,0.024313565760484046,0.9670885792924695,0.0968179389517848,-1.6338799158004584,0.0,0.0,-0.21151801840566165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.624999999999948,0.8138161745576188,0.6981317007977318,0.6981317007977318,-0.16391077526113423,-6.755302777430756,-0.6715528424033679,-1.4369777730007702,0.0,0.0,-0.2126748631432605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.62999999999995,0.8135665819000333,0.6981317007977318,0.6981317007977318,-0.04991853151710225,-0.8445524721833255,-0.10749902298834785,-1.5491292536647991,0.0,0.0,-0.21382921195428353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.63499999999995,0.8139676789253738,0.6981317007977318,0.6981317007977318,0.08021940506810353,4.529875485661571,0.42656556290740855,-1.6852387143353678,0.0,0.0,-0.21498757173555996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.63999999999995,0.8136765214866658,0.6981317007977318,0.6981317007977318,-0.058231487741600266,-1.9141353238588947,-0.1997160161019918,-1.544449380468057,0.0,0.0,-0.2161430199424493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.644999999999952,0.8139959976876842,0.6981317007977318,0.6981317007977318,0.06389524020366918,3.3537608587236627,0.3194170608608284,-1.6715684657944465,0.0,0.0,-0.21730166291134884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.649999999999952,0.8135850326355177,0.6981317007977318,0.6981317007977318,-0.08219301043328203,-3.160521338499119,-0.3185961154265552,-1.521703167849876,0.0,0.0,-0.2184561962297267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.654999999999953,0.8137234092716216,0.6981317007977318,0.6981317007977318,0.02767532722076277,1.8663164353624966,0.17144557660560994,-1.6343879422219056,0.0,0.0,-0.2196121133144656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.659999999999954,0.8129408980133344,0.6981317007977318,0.6981317007977318,-0.15650225165744347,-5.874050006838253,-0.595125801873015,-1.4419683202164089,0.0,0.0,-0.2207602052866216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.664999999999955,0.8127253335305227,0.6981317007977318,0.6981317007977318,-0.04311289656233665,-0.1636658016663297,-0.0475835813831757,-1.5539168378451036,0.0,0.0,-0.2219061416139495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.669999999999956,0.8131991791266843,0.6981317007977318,0.6981317007977318,0.09476911923231844,5.384347990453141,0.506563134622106,-1.6986356755769871,0.0,0.0,-0.22305681639723904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.674999999999956,0.8129923073789759,0.6981317007977318,0.6981317007977318,-0.04137434954167858,-1.1382603585973685,-0.12416030832113235,-1.561158351896302,0.0,0.0,-0.22420542246305147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.679999999999957,0.8134832720931677,0.6981317007977318,0.6981317007977318,0.09819294283836878,4.672083408324,0.452321026936615,-1.7077707365596058,0.0,0.0,-0.22535893817600583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.684999999999958,0.8132921817646163,0.6981317007977318,0.6981317007977318,-0.038218065710295,-1.7187736152873514,-0.1680763417912241,-1.5702182488779932,0.0,0.0,-0.22651054298567466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.689999999999959,0.8138159978295014,0.6981317007977318,0.6981317007977318,0.10476321297703652,4.344232255263379,0.43134915080269953,-1.7206421633142646,0.0,0.0,-0.22766738595599237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.69499999999996,0.8136553597740186,0.6981317007977318,0.6981317007977318,-0.03212761109656449,-2.0002471587333366,-0.18572186157591852,-1.5829789191646324,0.0,0.0,-0.22882262254575525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.69999999999996,0.8142446693757512,0.6981317007977318,0.6981317007977318,0.11786192034652569,4.399383530736938,0.4462402187361756,-1.7412012955142946,0.0,0.0,-0.22998375223153544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.704999999999961,0.8141429678931169,0.6981317007977318,0.6981317007977318,-0.02034029652685572,-2.008581850345706,-0.17695878524914105,-1.602938773520255,0.0,0.0,-0.23114386490248928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.709999999999962,0.8148543632768184,0.6981317007977318,0.6981317007977318,0.14227907674028883,4.897909450409216,0.5056560174249684,-1.775262118016608,0.0,0.0,-0.23231109152728016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.714999999999963,0.8148591104772629,0.6981317007977318,0.6981317007977318,0.0009494400889039911,-1.734857905728021,-0.13802908038711847,-1.6351567218673528,0.0,0.0,-0.23347836562407548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.719999999999963,0.8140901118074959,0.6981317007977318,0.6981317007977318,-0.1537997339533886,-7.577853286274121,-0.7292680500646406,-1.472339147897954,0.0,0.0,-0.23463794973417312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.724999999999964,0.8138773955419685,0.6981317007977318,0.6981317007977318,-0.042543253105484985,-1.6120233951031517,-0.16299647409264015,-1.5822004905069706,0.0,0.0,-0.2357954066816155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.729999999999965,0.8143482648062444,0.6981317007977318,0.6981317007977318,0.09417385285519411,4.179065522344643,0.40966432407172676,-1.7257301932790465,0.0,0.0,-0.23695757232170062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.734999999999966,0.8141290925882865,0.6981317007977318,0.6981317007977318,-0.04383444359159608,-2.177079439995893,-0.2092339100729483,-1.5862518041346663,0.0,0.0,-0.23811754623960615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.739999999999966,0.8145841867053715,0.6981317007977318,0.6981317007977318,0.09101882341699105,3.6524671283467707,0.3650124290013345,-1.7277307254073497,0.0,0.0,-0.23928207109868255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.744999999999967,0.8143463338272093,0.6981317007977318,0.6981317007977318,-0.04757057563242542,-2.6216022592992423,-0.24778464124987973,-1.5874492381502825,0.0,0.0,-0.2404442174289773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.749999999999968,0.8147600831779428,0.6981317007977318,0.6981317007977318,0.0827498701466903,3.115536023725235,0.3154427780153711,-1.7239009599620017,0.0,0.0,-0.2416105012527794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.754999999999969,0.8144730317260146,0.6981317007977318,0.6981317007977318,-0.057410290385637,-3.1139776023129033,-0.2950464404935419,-1.5814595953158188,0.0,0.0,-0.24277391456206224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.75999999999997,0.8147883807421891,0.6981317007977318,0.6981317007977318,0.06306980323489883,2.32802166297111,0.2366975756256079,-1.7068904439298929,0.0,0.0,-0.2439404813615068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.76499999999997,0.8143588300748347,0.6981317007977318,0.6981317007977318,-0.08591013347087836,-4.0967801378542,-0.3964705178050387,-1.5539181705086342,0.0,0.0,-0.24510275265427783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.769999999999971,0.8144633440444142,0.6981317007977318,0.6981317007977318,0.02090279391591872,0.9950929851885233,0.09632967394781684,-1.6631485819628526,0.0,0.0,-0.24626606908674467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.774999999999972,0.8135988994550168,0.6981317007977318,0.6981317007977318,-0.1728889178794799,-6.955594083665125,-0.694758660996794,-1.4601382070812583,0.0,0.0,-0.24742074107331752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.779999999999973,0.8132995134988315,0.6981317007977318,0.6981317007977318,-0.05987719123708085,-1.0440062012361384,-0.13142224908855576,-1.5707089803764436,0.0,0.0,-0.24857241920032852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
8.784999999999973,0.81359560553673,0.6981317007977318,0.6981317007977318,0.0592184075797106,3.9286189916827476,0.36166424539838826,-1.6945123226954082,0.0,0.0,-0.24972705824771851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.08,0.8,0.0,0.0,0.0,0.0,0.0
